County,Province
Carlow,Leinster
Dublin,Leinster
Kildare,Leinster
Kilkenny,Leinster
Laois,Leinster
Longford,Leinster
Louth,Leinster
Meath,Leinster
Offaly,Leinster
Westmeath,Leinster
Wexford,Leinster
Wicklow,Leinster
Antrim,Ulster (ROI)
Armagh,Ulster (ROI)
Cavan,Ulster (ROI)
Donegal,Ulster (ROI)
Down,Ulster (ROI)
Fermanagh,Ulster (ROI)
Londonderry,Ulster (ROI)
Monaghan,Ulster (ROI)
Tyrone,Ulster (ROI)
Galway,Connaught
Leitrim,Connaught
Mayo,Connaught
Roscommon,Connaught
Sligo,Connaught
Clare,Munster
Cork,Munster
Kerry,Munster
Limerick,Munster
Tipperary,Munster
Waterford,Munster